ilce_adi,mahalle_adi,endemik_bitki_1,endemik_bitki_2,endemik_bitki_3
Altınekin,AKINCILAR,YOK,YOK,YOK
Beyşehir,ADAKÖY,YOK,YOK,YOK
Beyşehir,AĞILÖNÜ,YOK,YOK,YOK
Beyşehir,AKBURUN,YOK,YOK,YOK
Beyşehir,AKÇABELEN,YOK,YOK,YOK
Beyşehir,AVDANCIK,YOK,YOK,YOK
Beyşehir,BADEMLİ,YOK,YOK,YOK
Beyşehir,BAYAT,YOK,YOK,YOK
Beyşehir,BAYAVŞAR,YOK,YOK,YOK
Beyşehir,BAYINDIR,YOK,YOK,YOK
Beyşehir,BAŞGÖZE,YOK,YOK,YOK
Beyşehir,BEKDEMİR,YOK,YOK,YOK
Beyşehir,DAMLAPINAR,YOK,YOK,YOK
Beyşehir,DOĞANBEY,YOK,YOK,YOK
Beyşehir,DOĞANCIK,YOK,YOK,YOK
Beyşehir,DUMANLI,YOK,YOK,YOK
Beyşehir,EMEN,YOK,YOK,YOK
Beyşehir,ESENCE,YOK,YOK,YOK
Beyşehir,EYLİKLER,YOK,YOK,YOK
Beyşehir,EĞİRLER,YOK,YOK,YOK
Beyşehir,FASILLAR,YOK,YOK,YOK
Beyşehir,GÖKÇEKUYU,YOK,YOK,YOK
Beyşehir,GÖKÇİMEN,YOK,YOK,YOK
Beyşehir,GÖLKAŞI,YOK,YOK,YOK
Beyşehir,GÖLYAKA,YOK,YOK,YOK
Beyşehir,GÖNEN,YOK,YOK,YOK
Beyşehir,GÖÇÜ,ÇOBAN DÖŞEĞİ,YOK,YOK
Beyşehir,GÜNDOĞDU,YOK,YOK,YOK
Beyşehir,HUĞLU,YOK,YOK,YOK
Beyşehir,HÜSEYİNLER,YOK,YOK,YOK
Beyşehir,İSAKÖY,YOK,YOK,YOK
Beyşehir,KARAALİ,YOK,YOK,YOK
Beyşehir,KARABAYAT,YOK,YOK,YOK
Beyşehir,KARADİKEN,SAZ SÜMBÜLÜ,YOK,YOK
Beyşehir,KARAHİSAR,YOK,YOK,YOK
Beyşehir,KAYABAŞI,YOK,YOK,YOK
Beyşehir,KURUCUOVA,YOK,YOK,YOK
Beyşehir,KUŞLUCA,YOK,YOK,YOK
Beyşehir,KÜÇÜKAVŞAR,YOK,YOK,YOK
Beyşehir,MESUTLAR,YOK,YOK,YOK
Beyşehir,SADIKHACI,YOK,YOK,YOK
Beyşehir,SARIKÖY,YOK,YOK,YOK
Beyşehir,SEVİNDİK,YOK,YOK,YOK
Beyşehir,ŞAMLAR,YOK,YOK,YOK
Beyşehir,ÜÇPINAR,YOK,YOK,YOK
Beyşehir,ÜSTÜNLER,YOK,YOK,YOK
Beyşehir,ÜZÜMLÜ,YOK,YOK,YOK
Beyşehir,YAZYURDU,YOK,YOK,YOK
Beyşehir,YENİDOĞAN,YOK,YOK,YOK
Beyşehir,YEŞİLDAĞ,YOK,YOK,YOK
Beyşehir,YUKARIESENCE,YOK,YOK,YOK
Beyşehir,YUNUSLAR,YOK,YOK,YOK
Beyşehir,ÇİFTLİK,YOK,YOK,YOK
Beyşehir,ÇİVRİL,YOK,YOK,YOK
Beyşehir,ÇUKURAĞIL,YOK,YOK,YOK
Bozkır,ÇAĞLAYAN,YOK,YOK,YOK
Bozkır,HAMZALAR,YOK,YOK,YOK
Bozkır,AKÇAPINAR,YOK,YOK,YOK
Bozkır,ARMUTLU,YOK,YOK,YOK
Bozkır,ARSLANTAŞ,YOK,YOK,YOK
Bozkır,AYDINKIŞLA,YOK,YOK,YOK
Bozkır,AYVALCA,YOK,YOK,YOK
Bozkır,BAĞYURDU,YOK,YOK,YOK
Bozkır,BAYBAĞAN,YOK,YOK,YOK
Bozkır,BOZDAM,YOK,YOK,YOK
Bozkır,DEREİÇİ,YOK,YOK,YOK
Bozkır,DEREKÖY,YOK,YOK,YOK
Bozkır,ELMAAĞAÇ,YOK,YOK,YOK
Bozkır,HACILAR,YOK,YOK,YOK
Bozkır,HACIYUNUSLAR,YOK,YOK,YOK
Bozkır,HARMANPINAR,YOK,YOK,YOK
Bozkır,HİSARLIK,YOK,YOK,YOK
Bozkır,IŞIKLAR,YOK,YOK,YOK
Bozkır,KARABAYIR,YOK,YOK,YOK
Bozkır,KARACAARDIÇ,YOK,YOK,YOK
Bozkır,KARACAHİSAR,YOK,YOK,YOK
Bozkır,KARAYAHYA,YOK,YOK,YOK
Bozkır,KAYACILAR,YOK,YOK,YOK
Bozkır,KAYAPINAR,YOK,YOK,YOK
Bozkır,KINIK,YOK,YOK,YOK
Bozkır,KIZILÇAKIR,YOK,YOK,YOK
Bozkır,KİLDERE,YOK,YOK,YOK
Bozkır,KOVANLIK,YOK,YOK,YOK
Bozkır,KOZAĞAÇ,YOK,YOK,YOK
Bozkır,KUŞÇA,YOK,YOK,YOK
Bozkır,KÜÇÜKHİSARLIK,YOK,YOK,YOK
Bozkır,PINARCIK,YOK,YOK,YOK
Bozkır,SARIOĞLAN,YOK,YOK,YOK
Bozkır,SAZLI,YOK,YOK,YOK
Bozkır,SOĞUCAK,YOK,YOK,YOK
Bozkır,SORKUN,YOK,YOK,YOK
Bozkır,SÖĞÜT,YOK,YOK,YOK
Bozkır,TARLABAŞI,YOK,YOK,YOK
Bozkır,TAŞBAŞI,YOK,YOK,YOK
Bozkır,TEPEARASI,YOK,YOK,YOK
Bozkır,TEPELİCE,YOK,YOK,YOK
Bozkır,ULUPINAR,YOK,YOK,YOK
Bozkır,ÜÇPINAR,YOK,YOK,YOK
Bozkır,YALNIZCA,YOK,YOK,YOK
Bozkır,YAZDAMI,YOK,YOK,YOK
Bozkır,YELBEYİ,YOK,YOK,YOK
Bozkır,YENİKÖY,YOK,YOK,YOK
Bozkır,YOLÖREN,YOK,YOK,YOK
Çeltik,GÖKPINAR,YOK,YOK,YOK
Çeltik,ADAKASIM,YOK,YOK,YOK
Çeltik,DOĞANYURT,YOK,YOK,YOK
Çeltik,KAŞÖREN,YOK,YOK,YOK
Çeltik,KÜÇÜKHASAN,YOK,YOK,YOK
Çeltik,TORUNLAR,YOK,YOK,YOK
Çeltik,İSHAKUŞAĞI,YOK,YOK,YOK
Çeltik,HONAMLI,YOK,YOK,YOK
Cihanbeyli,BÖĞRÜDELİK,YOK,YOK,YOK
Cihanbeyli,YAPALI,YOK,YOK,YOK
Cihanbeyli,YENİCEOBA,YOK,YOK,YOK
Cihanbeyli,CUMHURİYET,YOK,YOK,YOK
Cihanbeyli,GEMECİK,YOK,YOK,YOK
Cihanbeyli,GÖKTEPE,YOK,YOK,YOK
Cihanbeyli,AĞABEYLİ,YOK,YOK,YOK
Cihanbeyli,HODOĞLU,YOK,YOK,YOK
Cihanbeyli,KAYI,YOK,YOK,YOK
Cihanbeyli,KIRKIŞLA,YOK,YOK,YOK
Cihanbeyli,KORKMAZLAR,YOK,YOK,YOK
Cihanbeyli,KÜÇÜKBEŞKAVAK,YOK,YOK,YOK
Cihanbeyli,MUTLUKONAK,YOK,YOK,YOK
Cihanbeyli,SAĞLIK,YOK,YOK,YOK
Cihanbeyli,SIĞIRCIK,YOK,YOK,YOK
Cihanbeyli,TURANLAR,YOK,YOK,YOK
Cihanbeyli,TÜFEKÇİPINAR,YOK,YOK,YOK
Cihanbeyli,UZUNCAYAYLA,YOK,YOK,YOK
Cihanbeyli,YÜNLÜKUYU,YOK,YOK,YOK
Cihanbeyli,ZAFERİYE,YOK,YOK,YOK
Cihanbeyli,GÖLYAZI,YOK,YOK,YOK
Cihanbeyli,GÜNYÜZÜ,YOK,YOK,YOK
Cihanbeyli,İNSUYU,YOK,YOK,YOK
Cihanbeyli,KANDİL,YOK,YOK,YOK
Cihanbeyli,KARABAĞ,YOK,YOK,YOK
Cihanbeyli,KELHASAN,YOK,YOK,YOK
Cihanbeyli,KUŞCA,YOK,YOK,YOK
Cihanbeyli,KÜTÜKUŞAĞI,YOK,YOK,YOK
Cihanbeyli,TAŞPINAR,YOK,YOK,YOK
Cihanbeyli,BEYLİOVA,YOK,YOK,YOK
Cihanbeyli,ÇİMEN,YOK,YOK,YOK
Cihanbeyli,ÇÖL,YOK,YOK,YOK
Cihanbeyli,DAMLAKUYU,YOK,YOK,YOK
Cihanbeyli,BULDUK,YOK,YOK,YOK
Cihanbeyli,BÜYÜKBEŞKAVAK,YOK,YOK,YOK
Cihanbeyli,KARATEPE,YOK,YOK,YOK
Çumra,ARIKÖREN,YOK,YOK,YOK
Çumra,DEDEMOĞLU,YOK,YOK,YOK
Çumra,TÜRKMENCAMİLİ,YOK,YOK,YOK
Çumra,A.B.HÜYÜĞÜ,YOK,YOK,YOK
Çumra,DİNEK,YOK,YOK,YOK
Çumra,İÇERİÇUMRA,YOK,YOK,YOK
Çumra,GÜVERCİNLİK,YOK,YOK,YOK
Çumra,KARKIN,YOK,YOK,YOK
Çumra,OKÇU,YOK,YOK,YOK
Çumra,YENİSU,YOK,YOK,YOK
Çumra,APA,YOK,YOK,YOK
Çumra,ABDİTOLU,YOK,YOK,YOK
Çumra,ADAKALE,YOK,YOK,YOK
Çumra,ALEMDAR,YOK,YOK,YOK
Çumra,APASARAYCIK,YOK,YOK,YOK
Çumra,AFŞAR,YOK,YOK,YOK
Çumra,AVDUL,YOK,YOK,YOK
Çumra,BALÇIKHİSAR,YOK,YOK,YOK
Çumra,BEYLERCE,YOK,YOK,YOK
Çumra,B.AŞLAMA,YOK,YOK,YOK
Çumra,CİCEK,YOK,YOK,YOK
Çumra,ÇUKURKAVAK,YOK,YOK,YOK
Çumra,DİNLENDİK,YOK,YOK,YOK
Çumra,DİNEKSARAY,YOK,YOK,YOK
Çumra,DOĞANLI,YOK,YOK,YOK
Çumra,FETHİYE,YOK,YOK,YOK
Çumra,GÖKHÜYÜK,YOK,YOK,YOK
Çumra,ERENTEPE,YOK,YOK,YOK
Çumra,İNLİ,YOK,YOK,YOK
Çumra,KUZUCU,YOK,YOK,YOK
Çumra,KÜÇÜKKÖY,YOK,YOK,YOK
Çumra,SEÇME,YOK,YOK,YOK
Çumra,SÜRGÜÇ,YOK,YOK,YOK
Çumra,TAHTALI,YOK,YOK,YOK
Çumra,T.KARAHÜYÜK,YOK,YOK,YOK
Çumra,TAŞAĞIL,YOK,YOK,YOK
Çumra,UZUNKUYU,YOK,YOK,YOK
Çumra,ÜÇHÜYÜK,YOK,YOK,YOK
Çumra,ÜRÜNLÜ,YOK,YOK,YOK
Çumra,YÖRÜKCAMİLİ,YOK,YOK,YOK
Çumra,ÇAYBAŞI,YOK,YOK,YOK
Derbent,ÇİFTLİKÖZÜ,YOK,YOK,YOK
Derbent,DEĞİŞ,YOK,YOK,YOK
Derbent,TEKKE,YOK,YOK,YOK
Derbent,GÜNEYKÖY,YOK,YOK,YOK
Derbent,MÜLAYİM,YOK,YOK,YOK
Derbent,SARAYPINAR,YOK,YOK,YOK
Derbent,YASSIÖREN,YOK,YOK,YOK
Derbent,SÜLEYMAN,YOK,YOK,YOK
Derbent,KARALAR,YOK,YOK,YOK
Derebucak,ÇAMLIK,YOK,YOK,YOK
Derebucak,DURAK,YOK,YOK,YOK
Derebucak,GENCEK,YOK,YOK,YOK
Derebucak,GÖYNEM,YOK,YOK,YOK
Derebucak,PINARBAŞI,YOK,YOK,YOK
Derebucak,TAŞLIPINAR,YOK,YOK,YOK
Derebucak,TEPEARASI,YOK,YOK,YOK
Derebucak,UĞURLU,YOK,YOK,YOK
Doğanhisar,BAŞKÖY,YOK,YOK,YOK
Doğanhisar,YAZLICA,YOK,YOK,YOK
Doğanhisar,AYASLAR,YOK,YOK,YOK
Doğanhisar,ÇINAROBA,YOK,YOK,YOK
Doğanhisar,DEŞTİĞİN,YOK,YOK,YOK
Doğanhisar,FIRINLI,YOK,YOK,YOK
Doğanhisar,GÜVENDİK,YOK,YOK,YOK
Doğanhisar,İLYASLAR,YOK,YOK,YOK
Doğanhisar,KARAAĞA,YOK,YOK,YOK
Doğanhisar,KEMER,YOK,YOK,YOK
Doğanhisar,KOÇAŞ,YOK,YOK,YOK
Doğanhisar,KONAKKALE,YOK,YOK,YOK
Doğanhisar,TEKKE,YOK,YOK,YOK
Doğanhisar,UNCULAR,YOK,YOK,YOK
Doğanhisar,YAZIR,YOK,YOK,YOK
Doğanhisar,YENİCE,YOK,YOK,YOK
Emirgazi,EKİZLİ,YOK,YOK,YOK
Emirgazi,AKMESCİT,YOK,YOK,YOK
Emirgazi,BESCİ,YOK,YOK,YOK
Emirgazi,DEMİRCİ,YOK,YOK,YOK
Emirgazi,GÖLÖREN,YOK,YOK,YOK
Emirgazi,IŞIKLAR,YOK,YOK,YOK
Emirgazi,KARAÖREN,YOK,YOK,YOK
Emirgazi,MEŞELİ,YOK,YOK,YOK
Emirgazi,ÖBEKTAŞ,YOK,YOK,YOK
Emirgazi,YAMAÇ,YOK,YOK,YOK
Ereğli,ZENGEN,YOK,YOK,YOK
Ereğli,ACIPINAR,YOK,YOK,YOK
Ereğli,ADABAĞ,YOK,YOK,YOK
Ereğli,AKHÜYÜK,YOK,YOK,YOK
Ereğli,ALHAN,YOK,YOK,YOK
Ereğli,AŞAĞI GÖNDELEN,YOK,YOK,YOK
Ereğli,AŞIKLAR,YOK,YOK,YOK
Ereğli,AZİZİYE,YOK,YOK,YOK
Ereğli,BAHÇELİ,YOK,YOK,YOK
Ereğli,BELCEAĞAÇ,YOK,YOK,YOK
Ereğli,BELKAYA,YOK,YOK,YOK
Ereğli,BEYKÖY,YOK,YOK,YOK
Ereğli,BEYÖREN,YOK,YOK,YOK
Ereğli,BULGURLUK,YOK,YOK,YOK
Ereğli,BURHANİYE,YOK,YOK,YOK
Ereğli,BÜYÜKDEDE,YOK,YOK,YOK
Ereğli,ÇAKMAK,YOK,YOK,YOK
Ereğli,ÇAYHAN,YOK,YOK,YOK
Ereğli,ÇİLLER,YOK,YOK,YOK
Ereğli,ÇİMENCİK,YOK,YOK,YOK
Ereğli,GAYBİ,YOK,YOK,YOK
Ereğli,GÖKÇEYAZI,YOK,YOK,YOK
Ereğli,GÖKTÖME,YOK,YOK,YOK
Ereğli,HACIMEMİŞ,YOK,YOK,YOK
Ereğli,KAMIŞLIKUYU,YOK,YOK,YOK
Ereğli,KARABURUN,YOK,YOK,YOK
Ereğli,KARGACI,YOK,YOK,YOK
Ereğli,KIZILGEDİK,YOK,YOK,YOK
Ereğli,KUSKUNCUK,YOK,YOK,YOK
Ereğli,KUTÖREN,YOK,YOK,YOK
Ereğli,KUZUKUYU,YOK,YOK,YOK
Ereğli,MELİCEK,YOK,YOK,YOK
Ereğli,ORHANİYE,YOK,YOK,YOK
Ereğli,ÖZGÜRLER,YOK,YOK,YOK
Ereğli,PINARÖZÜ,YOK,YOK,YOK
Ereğli,SARICA,YOK,YOK,YOK
Ereğli,SARITOPALLI,YOK,YOK,YOK
Ereğli,SELVİLİ,YOK,YOK,YOK
Ereğli,TAŞAĞIL,YOK,YOK,YOK
Ereğli,TAŞBUDAK,YOK,YOK,YOK
Ereğli,TATLIKUYU,YOK,YOK,YOK
Ereğli,TÜRKMEN,YOK,YOK,YOK
Ereğli,ULUMEŞE,YOK,YOK,YOK
Ereğli,YAZLIK,YOK,YOK,YOK
Ereğli,YELLİCE,YOK,YOK,YOK
Ereğli,YENİKÖY,YOK,YOK,YOK
Ereğli,YILDIZLI,YOK,YOK,YOK
Ereğli,YUKARIGÖNDELEN,YOK,YOK,YOK
Ereğli,HORTU,YOK,YOK,YOK
Ereğli,ACIKUYU,YOK,YOK,YOK
Güneysınır,GÜRAĞAÇ,YOK,YOK,YOK
Güneysınır,AĞAÇOBA,YOK,YOK,YOK
Güneysınır,ALANÖZÜ,YOK,YOK,YOK
Güneysınır,AVCITEPE,YOK,YOK,YOK
Güneysınır,AYDOĞMUŞ,YOK,YOK,YOK
Güneysınır,HABİLLER,YOK,YOK,YOK
Güneysınır,KARAGÜNEY,YOK,YOK,YOK
Güneysınır,KAYAAĞZI,YOK,YOK,YOK
Güneysınır,KIZILÖZ,YOK,YOK,YOK
Güneysınır,KURUKAVAK,YOK,YOK,YOK
Güneysınır,MEHMET ALİ,YOK,YOK,YOK
Güneysınır,ÖMEROĞLU,YOK,YOK,YOK
Güneysınır,ÖRENBOYALI,YOK,YOK,YOK
Güneysınır,SARIHACI,YOK,YOK,YOK
Hadim,AŞAĞIEŞENLER,YOK,YOK,YOK
Hadim,AŞAĞIKIZILKAYA,YOK,YOK,YOK
Hadim,BADEMLİ,YOK,YOK,YOK
Hadim,BAĞBAŞI,YOK,YOK,YOK
Hadim,BEYRELİ,YOK,YOK,YOK
Hadim,BOLAT,YOK,YOK,YOK
Hadim,ÇİFTEPINAR,YOK,YOK,YOK
Hadim,DEDEMLİ,YOK,YOK,YOK
Hadim,DÜLGERLER,YOK,YOK,YOK
Hadim,FAKILAR,YOK,YOK,YOK
Hadim,GAZİLER,YOK,YOK,YOK
Hadim,GÖYNÜKKIŞLA,YOK,YOK,YOK
Hadim,GÜLPINAR,YOK,YOK,YOK
Hadim,İĞDEÖREN,YOK,YOK,YOK
Hadim,KALINAĞIL,ERENLER ÇİÇEĞİ,YOK,YOK
Hadim,KAPLANLI,YOK,YOK,YOK
Hadim,GEZLEVİ,YOK,YOK,YOK
Hadim,KÜPLÜCE,YOK,YOK,YOK
Hadim,ODUNCU,YOK,YOK,YOK
Hadim,SARNIÇ,YOK,YOK,YOK
Hadim,SELAHATTİN,YOK,YOK,YOK
Hadim,UMURLAR,YOK,YOK,YOK
Hadim,YAĞCI,YOK,YOK,YOK
Hadim,YALINÇEVRE,YOK,YOK,YOK
Hadim,YELMEZ,YOK,YOK,YOK
Hadim,YENİKONAK,YOK,YOK,YOK
Hadim,YUKARIEŞENLER,YOK,YOK,YOK
Halkapınar,İVRİZ,YOK,YOK,YOK
Halkapınar,BÜYÜKDOĞAN,YOK,YOK,YOK
Halkapınar,DEDELİ,YOK,YOK,YOK
Halkapınar,DELİMAHMUTLU,YOK,YOK,YOK
Halkapınar,ESKİHİSAR,YOK,YOK,YOK
Halkapınar,KARAYUSUFLU,YOK,YOK,YOK
Halkapınar,KAYASARAY,YOK,YOK,YOK
Halkapınar,KÖRLÜ,YOK,YOK,YOK
Halkapınar,KÜSERE,YOK,YOK,YOK
Halkapınar,OSMANKÖSELİ,KONGUR, HASRET GÜLÜ, TERS LALE
Halkapınar,SEYDİFAKILI,YOK,YOK,YOK
Halkapınar,YASSIKAYA,YOK,YOK,YOK
Halkapınar,YAYIKLI,YOK,YOK,YOK
Halkapınar,YEŞİLYURT,YOK,YOK,YOK
Halkapınar,ÇAKILLAR,YOK,YOK,YOK
Hüyük,BAŞLAMIŞ,YOK,YOK,YOK
Hüyük,BUDAK,YOK,YOK,YOK
Hüyük,BURUNSUZ,YOK,YOK,YOK
Hüyük,ÇAMLICA,YOK,YOK,YOK
Hüyük,ÇAVUŞ,YOK,YOK,YOK
Hüyük,ÇUKURKENT,YOK,YOK,YOK
Hüyük,DEĞİRMENALTI,YOK,YOK,YOK
Hüyük,GÖÇERİ,YOK,YOK,YOK
Hüyük,GÖRÜNMEZ,YOK,YOK,YOK
Hüyük,İLMEN,YOK,YOK,YOK
Hüyük,İMRENLER,YOK,YOK,YOK
Hüyük,KIRELİ,YOK,YOK,YOK
Hüyük,KÖŞK,YOK,YOK,YOK
Hüyük,MUTLU,YOK,YOK,YOK
Hüyük,PINARBAŞI,YOK,YOK,YOK
Hüyük,SELKİ,YOK,YOK,YOK
Hüyük,SULUDERE,YOK,YOK,YOK
Hüyük,TOLCA,YOK,YOK,YOK
Hüyük,YENİCE,YOK,YOK,YOK
Ilgın,ARGITHANI,YOK,YOK,YOK
Ilgın,BEYKONAK,YOK,YOK,YOK
Ilgın,ÇAVUŞÇUGÖL,YOK,YOK,YOK
Ilgın,AĞALAR,YOK,YOK,YOK
Ilgın,BALKI,YOK,YOK,YOK
Ilgın,BARAKMUSLU,YOK,YOK,YOK
Ilgın,BELEKLER,YOK,YOK,YOK
Ilgın,BOĞAZKENT,YOK,YOK,YOK
Ilgın,BULCUK,YOK,YOK,YOK
Ilgın,BÜYÜKOBA,YOK,YOK,YOK
Ilgın,ÇİĞİL,YOK,YOK,YOK
Ilgın,ÇATAK,YOK,YOK,YOK
Ilgın,ÇOBANKAYA,YOK,YOK,YOK
Ilgın,ÇÖMLEKCİ,YOK,YOK,YOK
Ilgın,DEREKÖY,YOK,YOK,YOK
Ilgın,DIĞRAK,YOK,YOK,YOK
Ilgın,DÜĞER,YOK,YOK,YOK
Ilgın,ELDEŞ,YOK,YOK,YOK
Ilgın,GEÇİT,YOK,YOK,YOK
Ilgın,GEDİKÖREN,YOK,YOK,YOK
Ilgın,GÖSTERE,YOK,YOK,YOK
Ilgın,GÖKÇEYURT,YOK,YOK,YOK
Ilgın,GÖLYAKA,YOK,YOK,YOK
Ilgın,GÖKBUDAK,YOK,YOK,YOK
Ilgın,GÜNEYPINAR,YOK,YOK,YOK
Ilgın,HARMANYAZI,YOK,YOK,YOK
Ilgın,İHSANİYE,YOK,YOK,YOK
Ilgın,KAPAKLI,YOK,YOK,YOK
Ilgın,KARAKÖY,YOK,YOK,YOK
Ilgın,KALEKÖY,YOK,YOK,YOK
Ilgın,MAHMUTHİSAR,YOK,YOK,YOK
Ilgın,MECİDİYE,YOK,YOK,YOK
Ilgın,MİSAFİRLİ,YOK,YOK,YOK
Ilgın,OLUKPINAR,YOK,YOK,YOK
Ilgın,ORHANİYE,YOK,YOK,YOK
Ilgın,ORMANÖZÜ,YOK,YOK,YOK
Ilgın,SADIKKÖY,YOK,YOK,YOK
Ilgın,SEBİLLER,YOK,YOK,YOK
Ilgın,TEKELER,YOK,YOK,YOK
Ilgın,YUKARIÇİĞİL,YOK,YOK,YOK
Ilgın,YORAZLAR,YOK,YOK,YOK
Ilgın,ZAFERİYE,YOK,YOK,YOK
Ilgın,AVDAN,YOK,YOK,YOK
Kadınhanı,OSMANCIK,YOK,YOK,YOK
Kadınhanı,AFŞARLI,YOK,YOK,YOK
Kadınhanı,ALABAĞ,YOK,YOK,YOK
Kadınhanı,ATLANTI,YOK,YOK,YOK
Kadınhanı,BAKIRPINAR,YOK,YOK,YOK
Kadınhanı,BAŞKUYU,YOK,YOK,YOK
Kadınhanı,BAYRAMLI,YOK,YOK,YOK
Kadınhanı,BEYKAVAĞI,YOK,YOK,YOK
Kadınhanı,BULGURPINAR,YOK,YOK,YOK
Kadınhanı,ÇAVDAR,YOK,YOK,YOK
Kadınhanı,ÇEŞMECİK,YOK,YOK,YOK
Kadınhanı,ÇUBUK,YOK,YOK,YOK
Kadınhanı,DEMİROLUK,YOK,YOK,YOK
Kadınhanı,HACIMEHMETLİ,YOK,YOK,YOK
Kadınhanı,HACIOFLAZLAR,YOK,YOK,YOK
Kadınhanı,HACIPİRLİ,YOK,YOK,YOK
Kadınhanı,KABACALI,YOK,YOK,YOK
Kadınhanı,KAMIŞLIÖZÜ,YOK,YOK,YOK
Kadınhanı,KARAHİSARLI,YOK,YOK,YOK
Kadınhanı,KARAKURTLU,YOK,YOK,YOK
Kadınhanı,KARASEVİNÇ,YOK,YOK,YOK
Kadınhanı,KARAYÜRÜKLÜ,YOK,YOK,YOK
Kadınhanı,KIZILKUYU,YOK,YOK,YOK
Kadınhanı,KOLUKISA,YOK,YOK,YOK
Kadınhanı,KONURÖREN,YOK,YOK,YOK
Kadınhanı,KÖKEZ,YOK,YOK,YOK
Kadınhanı,KÖYLÜTOLU,YOK,YOK,YOK
Kadınhanı,KURTHASANLI,YOK,YOK,YOK
Kadınhanı,KÜÇÜKKUYU,YOK,YOK,YOK
Kadınhanı,MAHMUDİYE,YOK,YOK,YOK
Kadınhanı,MEYDANLI,YOK,YOK,YOK
Kadınhanı,ÖRNEK,YOK,YOK,YOK
Kadınhanı,PİRALİ,YOK,YOK,YOK
Kadınhanı,PUSAT,YOK,YOK,YOK
Kadınhanı,SAÇIKARA,YOK,YOK,YOK
